ranking,regionCode,firstName,lastName,teamId,teamName,age,height,weight,positionText,apps,minsPlayed,rating,goal,assistTotal,shotsPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnoverPerGame,name,date,,,
5,dk,Anders,Lindegaard,32,Manchester United,30,193,80,Goalkeeper,1,90,7.82,0,0,0,0,0,0,0,0,0,Andreas Cornelius,1/1/2014,,,
397,br,Anderson,Oliveira,32,Manchester United,26,176,69,Midfielder,4,158,6.5025,0,0,0.5,1,0.25,0.25,0.25,1,0.5,Andreas Weimann,1/1/2014,,,
473,eng,Andre,Wisdom,26,Liverpool,21,186,78,Defender,2,82,6.275,0,0,1,0,0.5,0,0,1.5,1,Andrew Taylor,1/1/2014,,,
178,de,André,Schürrle,15,Chelsea,24,183,72,Midfielder,30,1343,6.891,8,2,1.9,0.966666667,0.633333333,0.433333333,0.533333333,0.6,1.2,Andros Townsend,1/1/2014,,,
475,it,Andrea,Dossena,16,Sunderland,33,181,77,Defender,7,537,6.27,0,0,0.571428571,0.714285714,0,0.285714286,0,0.142857143,0.428571429,Andy Carroll,1/1/2014,,,
355,at,Andreas,Weimann,24,Aston Villa,23,188,76,Forward,37,2680,6.588108108,5,4,1.837837838,0.918918919,0.459459459,0.621621622,0.108108108,0.810810811,0.891891892,Andy Wilkinson,1/1/2014,,,
533,dk,Andreas,Cornelius,188,Cardiff,21,192,89,Forward,8,107,6.07125,0,0,0.5,0,0,0.25,0,0.5,0.625,Angel Rangel,1/1/2014,,,
413,eng,Andrew,Taylor,188,Cardiff,28,178,69,Defender,18,1576,6.465555556,0,0,0.277777778,0.555555556,0.111111111,0.555555556,0,0.611111111,0.333333333,Anthony Pilkington,1/1/2014,,,
170,eng,Andros,Townsend,30,Tottenham,23,181,81,Midfielder,25,1231,6.91,1,0,2.24,1.08,2.72,1.16,0.04,1.36,1.16,Antolin Alcaraz,1/1/2014,,,
489,eng,Andy,Wilkinson,96,Stoke,30,180,69,Defender,5,275,6.238,0,0,0.2,0,0,0.4,0,0.2,1,Antonio Luna,1/1/2014,,,
51,eng,Andy,Carroll,29,West Ham,25,193,79,Forward,15,1129,7.232,2,4,3.4,1,0.266666667,1.533333333,0.4,1.466666667,2.533333333,Antonio Nocerino,1/1/2014,,,
76,es,Angel,Rangel,259,Swansea,32,188,84,Defender,30,2633,7.145,0,1,0.3,0.9,0.466666667,0.766666667,0.033333333,0.4,0.8,Aron Gunnarsson,1/1/2014,,,
453,ie,Anthony,Pilkington,168,Norwich,26,180,76,Midfielder,15,841,6.36,1,1,1.133333333,0.266666667,1,0.6,0.133333333,0.8,1.6,Arouna Kone,1/1/2014,,,
115,py,Antolin,Alcaraz,31,Everton,32,184,80,Defender,6,495,7.05,0,0,0.333333333,0,1,0.5,0,0.166666667,0.166666667,Artur Boruc,1/1/2014,,,
265,es,Antonio,Luna,24,Aston Villa,23,178,70,Defender,17,1385,6.746470588,1,0,0.058823529,0.294117647,0.764705882,0.588235294,0.117647059,0.823529412,0.588235294,Ashkan Dejagah,1/1/2014,,,
484,it,Antonio,Nocerino,29,West Ham,29,175,74,Midfielder,10,255,6.24,0,0,0.3,0.4,0.1,0.5,0,0.4,0.3,Ashley Cole,1/1/2014,,,
390,is,Aron,Gunnarsson,188,Cardiff,25,177,70,Midfielder,23,1549,6.515217391,1,2,0.782608696,0.608695652,0.391304348,1,0.043478261,0.608695652,0.956521739,Ashley Westwood,1/1/2014,,,
510,ci,Arouna,Koné,31,Everton,31,182,78,Forward,5,79,6.16,0,0,0.6,0.4,0.2,0.2,0.4,0.6,0.8,Ashley Williams,1/1/2014,,,
280,pl,Artur,Boruc,18,Southampton,34,193,89,Goalkeeper,29,2580,6.715172414,0,1,0,0.103448276,0.103448276,0.068965517,0,0.034482759,0.034482759,Ashley Young,1/1/2014,,,
248,ir,Ashkan,Dejagah,170,Fulham,28,181,77,Midfielder,22,1310,6.772727273,5,2,1,1,1.545454545,1,0.181818182,1.909090909,1.181818182,Asmir Begovic,1/1/2014,,,
172,eng,Ashley,Cole,15,Chelsea,33,176,66,Defender,17,1389,6.91,0,2,0.235294118,1,0.529411765,0.941176471,0.058823529,0.470588235,1,Bacary Sagna,1/1/2014,,,
219,eng,Ashley,Westwood,24,Aston Villa,24,175,67,Midfielder,35,3086,6.825428571,3,2,0.8,1.857142857,0.2,0.542857143,0,0.457142857,0.514285714,Barry Bannan,1/1/2014,,,
370,eng,Ashley,Young,32,Manchester United,29,180,65,Midfielder,20,1040,6.5505,2,1,0.85,0.8,0.65,0.95,0.35,0.95,0.75,Ben Davies,1/1/2014,,,
52,wls,Ashley,Williams,259,Swansea,30,183,77,Defender,34,3041,7.231176471,1,1,0.382352941,0.147058824,0,0.235294118,0.147058824,0.147058824,0.382352941,Ben Foster,1/1/2014,,,
