ranking,seasonId,seasonName,tournamentId,tournamentRegionId,tournamentRegionCode,regionCode,tournamentName,tournamentShortName,firstName,lastName,playerId,isActive,isOpta,teamId,teamName,playedPositions,age,height,weight,positionText,apps,subOn,minsPlayed,rating,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outfielderBlockPerGame,goalOwn,name,date,,,
338,3853,2013/2014,2,252,gb,nl,Premier League,EPL,Alexander,Buttner,38147,FALSE,TRUE,32,Manchester United,-DL-,25,174,75,Defender,8,3,497,6.62125,2,0.875,0.875,0,2.625,0.375,0.25,0,Alexander Buttner,1/1/2014,,,
416,3853,2013/2014,2,252,gb,se,Premier League,EPL,Alexander,Kacaniklic,106518,FALSE,TRUE,170,Fulham,-AML-,23,180,66,Midfielder,23,8,1311,6.461304348,0.47826087,0.434782609,0.391304348,0,0.434782609,0.52173913,0.043478261,0,Alexander Kacaniklic,1/1/2014,,,
288,3853,2013/2014,2,252,gb,no,Premier League,EPL,Alexander,Tettey,9342,TRUE,TRUE,168,Norwich,-DMC-,28,180,68,Midfielder,21,4,1494,6.705238095,2.047619048,2,1.095238095,0.047619048,1.523809524,0.714285714,0.238095238,0,Alexander Tettey,1/1/2014,,,
408,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Allan,McGregor,5797,TRUE,TRUE,214,Hull,-GK-,32,183,74,Goalkeeper,26,0,2297,6.485769231,0,0,0.076923077,0,0.846153846,0.038461538,0,0,Allan McGregor,1/1/2014,,,
483,3853,2013/2014,2,252,gb,fr,Premier League,EPL,Alou,Diarra,4028,TRUE,TRUE,29,West Ham,-DMC-,33,190,79,Midfielder,3,2,114,6.243333333,0.666666667,0.666666667,1.333333333,0,3,0.333333333,0.333333333,0,Alou Diarra,1/1/2014,,,
142,3853,2013/2014,2,252,gb,fr,Premier League,EPL,Aly,Cissokho,35958,FALSE,TRUE,26,Liverpool,-DL-,27,181,75,Defender,15,3,1091,6.979333333,2.266666667,1.133333333,0.666666667,0,3.666666667,0.4,0.2,0,Aly Cissokho,1/1/2014,,,
5,3853,2013/2014,2,252,gb,dk,Premier League,EPL,Anders,Lindegaard,10620,TRUE,TRUE,32,Manchester United,-GK-,30,193,80,Goalkeeper,1,0,90,7.82,0,0,0,0,0,0,0,0,Anders Lindegaard,1/1/2014,,,
397,3853,2013/2014,2,252,gb,br,Premier League,EPL,Anderson,Oliveira,21723,TRUE,TRUE,32,Manchester United,-DMC-,26,176,69,Midfielder,4,2,158,6.5025,1.25,0.75,1.25,0,0.75,0.25,0,0,Anderson Oliveira,1/1/2014,,,
473,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Andre,Wisdom,101763,FALSE,TRUE,26,Liverpool,-DR-,21,186,78,Defender,2,1,82,6.275,1.5,0,1,0.5,2.5,0,0,0,Andre Wisdom,1/1/2014,,,
475,3853,2013/2014,2,252,gb,it,Premier League,EPL,Andrea,Dossena,6175,TRUE,TRUE,16,Sunderland,-DL-ML-,33,181,77,Defender,7,1,537,6.27,1.857142857,1.571428571,0.857142857,0.142857143,1,1.428571429,0,0,Andrea Dossena,1/1/2014,,,
533,3853,2013/2014,2,252,gb,dk,Premier League,EPL,Andreas,Cornelius,113196,FALSE,TRUE,188,Cardiff,-FW-,21,192,89,Forward,8,8,107,6.07125,0.375,0,0.25,0,0.25,0,0,0,Andreas Cornelius,1/1/2014,,,
355,3853,2013/2014,2,252,gb,at,Premier League,EPL,Andreas,Weimann,80719,TRUE,TRUE,24,Aston Villa,-AMC-AML-AMR-FW-,23,188,76,Forward,37,6,2680,6.588108108,0.756756757,0.513513514,0.72972973,0,0.27027027,0.594594595,0,0,Andreas Weimann,1/1/2014,,,
413,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Andrew,Taylor,12847,FALSE,TRUE,188,Cardiff,-DL-,28,178,69,Defender,18,0,1576,6.465555556,0.666666667,1.222222222,0.166666667,0.277777778,3.166666667,0.388888889,0.5,0,Andrew Taylor,1/1/2014,,,
170,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Andros,Townsend,71522,TRUE,TRUE,30,Tottenham,-AML-AMR-,23,181,81,Midfielder,25,13,1231,6.91,1,0.24,0.32,0,0.08,0.68,0,0,Andros Townsend,1/1/2014,,,
51,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Andy,Carroll,23383,TRUE,TRUE,29,West Ham,-FW-,25,193,79,Forward,15,3,1129,7.232,0.533333333,0.066666667,1.933333333,0,1.533333333,0.333333333,0.2,0,Andy Carroll,1/1/2014,,,
489,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Andy,Wilkinson,12541,FALSE,TRUE,96,Stoke,-DL-DR-,30,180,69,Defender,5,3,275,6.238,1.4,0.6,1.2,0,3.2,1.2,0.2,0,Andy Wilkinson,1/1/2014,,,
76,3853,2013/2014,2,252,gb,es,Premier League,EPL,Angel,Rangel,29820,TRUE,TRUE,259,Swansea,-DR-,32,188,84,Defender,30,1,2633,7.145,2.8,3.1,1.366666667,0.1,3.133333333,1.233333333,0.333333333,0,Angel Rangel,1/1/2014,,,
